Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,54.236.174.203,1161486030,150,1161486030.00,150.00,0.00,0.00
192.168.20.43,209.54.183.244,469665,12,469665.00,12.00,0.00,0.00
192.168.20.43,209.54.183.240,527316,29,527316.00,29.00,0.00,0.00
192.168.20.43,44.199.52.214,133836787,42,133836787.00,42.00,0.00,0.00
192.168.20.43,209.54.180.48,457268,12,457268.00,12.00,0.00,0.00
192.168.20.43,54.88.98.123,231378679,28,231378679.00,28.00,0.00,0.00
192.168.20.43,52.16.104.93,26128276212,3444,26128276212.00,3444.00,0.00,0.00
192.168.20.43,52.27.163.92,151555322,126,151555322.00,126.00,0.00,0.00
192.168.20.43,52.202.248.176,96916278,41,96916278.00,41.00,0.00,0.00
192.168.20.43,3.224.166.115,28018728,204,28018728.00,204.00,0.00,0.00
192.168.20.43,3.212.27.131,1309926577,168,654963288.50,84.00,436940589.50,56.00
192.168.20.43,34.237.106.83,96354344,40,96354344.00,40.00,0.00,0.00
192.168.20.43,54.209.44.8,64045385,462,32022692.50,231.00,27859652.50,200.00
192.168.20.43,44.197.43.221,132754690,250,66377345.00,125.00,31571603.00,95.00
192.168.20.43,107.20.216.54,989513917,126,494756958.50,63.00,385420358.50,49.00
192.168.20.43,52.37.30.201,70063251,161,70063251.00,161.00,0.00,0.00
192.168.20.43,146.59.88.209,29647,1,29647.00,1.00,0.00,0.00
192.168.20.43,18.164.55.40,144636407,95,72318203.50,47.50,70505621.50,35.50
192.168.20.43,52.94.217.61,488399,14,488399.00,14.00,0.00,0.00
192.168.20.43,52.94.233.94,414233,12,414233.00,12.00,0.00,0.00
192.168.20.43,3.227.250.251,8463371,20,8463371.00,20.00,0.00,0.00
192.168.20.43,54.85.101.161,97285495,46,97285495.00,46.00,0.00,0.00
192.168.20.43,54.161.46.108,96390404,40,96390404.00,40.00,0.00,0.00
192.168.20.43,52.84.174.45,1462442,6,1462442.00,6.00,0.00,0.00
192.168.20.43,52.46.128.39,2340988,41,1170494.00,20.50,278241.00,0.50
192.168.20.43,3.237.53.195,27231883,202,13615941.50,101.00,10208677.50,89.00
192.168.20.43,54.208.221.42,1643657426,210,1643657426.00,210.00,0.00,0.00
192.168.20.43,34.192.154.181,49022321,444,49022321.00,444.00,0.00,0.00
192.168.20.43,44.234.113.198,35360070,85,35360070.00,85.00,0.00,0.00
192.168.20.43,255.255.255.255,14437,72,14437.00,72.00,0.00,0.00
192.168.20.43,18.155.126.209,1874770,81,1874770.00,81.00,0.00,0.00
192.168.20.43,3.131.252.182,112304421,14,112304421.00,14.00,0.00,0.00
192.168.20.43,34.210.228.239,112824568,233,56412284.00,116.50,38962212.00,80.50
192.168.20.43,209.54.178.134,438191,11,438191.00,11.00,0.00,0.00
192.168.20.43,54.75.207.158,738664,27,738664.00,27.00,0.00,0.00
192.168.20.43,209.54.179.93,81568430,10,81568430.00,10.00,0.00,0.00
192.168.20.43,18.232.172.63,767159912,98,767159912.00,98.00,0.00,0.00
192.168.20.43,52.202.2.34,37099475,21,37099475.00,21.00,0.00,0.00
192.168.20.43,18.164.49.183,121978276,361,121978276.00,361.00,0.00,0.00
192.168.20.43,52.204.152.47,16037654,118,16037654.00,118.00,0.00,0.00
192.168.20.43,52.95.124.103,740209,26,740209.00,26.00,0.00,0.00
192.168.20.43,176.32.101.122,11576430,29,11576430.00,29.00,0.00,0.00
192.168.20.43,50.17.237.83,96660304,39,96660304.00,39.00,0.00,0.00
192.168.20.43,52.46.149.63,508866,12,508866.00,12.00,0.00,0.00
192.168.20.43,52.46.149.60,356310,11,356310.00,11.00,0.00,0.00
192.168.20.43,35.164.182.2,60747267,127,60747267.00,127.00,0.00,0.00
192.168.20.43,18.210.245.179,96272714,49,96272714.00,49.00,0.00,0.00
192.168.20.43,54.226.11.35,14863582,59,14863582.00,59.00,0.00,0.00
192.168.20.43,34.236.6.206,76890,1,76890.00,1.00,0.00,0.00
192.168.20.43,54.239.35.48,293774,11,293774.00,11.00,0.00,0.00
192.168.20.43,54.159.111.180,71117848,1703,71117848.00,1703.00,0.00,0.00
192.168.20.43,52.45.18.59,42628952566,1874,21314476283.00,937.00,19492764838.00,857.00
192.168.20.43,34.227.127.81,998019655,126,998019655.00,126.00,0.00,0.00
192.168.20.43,52.222.193.55,3441593849,1920,1720796924.50,960.00,1660729501.50,947.00
192.168.20.43,52.46.141.254,347851,12,347851.00,12.00,0.00,0.00
192.168.20.43,52.46.145.14,489000,12,489000.00,12.00,0.00,0.00
192.168.20.43,8.8.4.4,1841,1,1841.00,1.00,0.00,0.00
192.168.20.43,52.46.129.152,552960,33,552960.00,33.00,0.00,0.00
192.168.20.43,3.222.37.116,96843273,42,96843273.00,42.00,0.00,0.00
192.168.20.43,3.218.120.56,1095094419,140,1095094419.00,140.00,0.00,0.00
192.168.20.43,34.228.101.107,96716691,34,96716691.00,34.00,0.00,0.00
192.168.20.43,52.95.127.117,82432978,51,82432978.00,51.00,0.00,0.00
192.168.20.43,52.46.136.110,846773,26,846773.00,26.00,0.00,0.00
192.168.20.43,209.54.177.114,112067000,10,112067000.00,10.00,0.00,0.00
192.168.20.43,52.119.198.101,997496,22,997496.00,22.00,0.00,0.00
192.168.20.43,100.21.0.103,44326377,108,44326377.00,108.00,0.00,0.00
