Src IP,Dst IP,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,52.94.217.61,488399.00,14.00,0.00,0.00
192.168.20.43,52.94.219.88,413265538.00,286.00,0.00,0.00
192.168.20.43,52.94.233.94,414233.00,12.00,0.00,0.00
192.168.20.43,3.227.250.251,8463371.00,20.00,0.00,0.00
192.168.20.43,34.232.93.236,4384576.00,25.00,0.00,0.00
192.168.20.43,54.85.101.161,97285495.00,46.00,0.00,0.00
192.168.20.43,54.161.46.108,96390404.00,40.00,0.00,0.00
192.168.20.43,3.226.196.104,39623315.00,917.50,13164075.00,714.50
192.168.20.43,52.84.174.45,1462442.00,6.00,0.00,0.00
192.168.20.43,52.46.128.39,1448735.00,20.00,0.00,0.00
192.168.20.43,3.237.53.195,13615941.50,101.00,10208677.50,89.00
192.168.20.43,54.208.221.42,1643657426.00,210.00,0.00,0.00
192.168.20.43,34.192.154.181,49022321.00,444.00,0.00,0.00
192.168.20.43,44.234.113.198,35360070.00,85.00,0.00,0.00
192.168.20.43,255.255.255.255,14437.00,72.00,0.00,0.00
192.168.20.43,54.161.84.13,80160938.00,1912.00,0.00,0.00
192.168.20.43,3.89.179.154,1217171057.00,154.00,0.00,0.00
192.168.20.43,54.239.26.255,377284.00,12.00,0.00,0.00
192.168.20.43,3.131.252.182,112304421.00,14.00,0.00,0.00
192.168.20.43,34.210.228.239,56412284.00,116.50,38962212.00,80.50
192.168.20.43,209.54.178.134,438191.00,11.00,0.00,0.00
192.168.20.43,176.32.101.46,65500888.50,16.00,3003185.50,1.00
192.168.20.43,54.75.207.158,738664.00,27.00,0.00,0.00
192.168.20.43,52.205.164.240,877315008.00,112.00,0.00,0.00
192.168.20.43,52.205.66.64,22441404.00,213.00,0.00,0.00
192.168.20.43,18.203.57.224,24312900510.00,4057.00,0.00,0.00
192.168.20.43,52.200.163.50,660361845.00,84.00,600200936.00,80.00
192.168.20.43,52.46.137.209,901828.00,24.00,0.00,0.00
192.168.20.43,3.224.249.36,96650707.00,36.00,0.00,0.00
192.168.20.43,52.94.218.244,296777557.00,39.00,0.00,0.00
192.168.20.43,209.54.179.93,81568430.00,10.00,0.00,0.00
