Date,Src IP,Dst IP,Total Flow Duration,Total Forward Packets
05/11/2022,192.168.20.43,209.54.180.48,457268,12
06/11/2022,192.168.20.48,52.222.193.55,8409902,581
06/11/2022,192.168.20.48,52.119.198.2,464766,13
06/11/2022,192.168.20.42,8.8.8.8,41344827829,5556
06/11/2022,192.168.20.43,34.237.106.83,96354344,40
05/11/2022,192.168.20.43,34.194.31.220,109027077,14
06/11/2022,54.249.26.192,192.168.20.48,397620,3
06/11/2022,192.168.20.48,54.225.146.82,3116350,38
06/11/2022,192.168.20.43,224.0.0.251,11532329950,482
06/11/2022,192.168.20.43,67.220.241.5,929049,41
06/11/2022,192.168.20.48,15.184.245.166,1339601,41
06/11/2022,192.168.20.43,52.94.225.56,544081,12
06/11/2022,192.168.20.48,15.161.86.203,1501742,53
06/11/2022,192.168.20.48,3.227.117.250,1415669,27
06/11/2022,192.168.20.43,34.227.127.81,998019655,126
05/11/2022,192.168.20.19,239.255.255.250,2431366598,432
06/11/2022,192.168.20.42,142.250.179.110,8136545,9
06/11/2022,54.157.203.98,192.168.20.48,1222595,24
06/11/2022,52.20.206.121,192.168.20.48,3165280,53
06/11/2022,192.168.20.43,52.222.174.11,60116722,80
06/11/2022,192.168.20.48,34.231.63.97,2022040,45
06/11/2022,192.168.20.48,108.137.188.162,4867566,57
05/11/2022,192.168.20.19,63.32.248.122,74355,10
06/11/2022,192.168.20.43,67.220.240.30,459754,12
06/11/2022,192.168.20.43,34.239.216.180,35966125,276
06/11/2022,192.168.20.43,192.168.20.1,3359100,1360
06/11/2022,192.168.20.48,13.37.191.91,136655,36
06/11/2022,192.168.20.43,34.194.31.220,879189573,112
06/11/2022,192.168.20.43,35.164.182.2,60747267,127
06/11/2022,192.168.20.43,209.54.179.233,487563,12
05/11/2022,192.168.20.43,52.222.149.107,1414554,6
06/11/2022,192.168.20.43,52.95.126.126,427283,13
06/11/2022,35.178.87.88,192.168.20.48,152210,1
06/11/2022,176.32.101.122,192.168.20.43,1277,1
06/11/2022,192.168.20.43,52.94.239.40,1757445,54
06/11/2022,3.227.83.236,192.168.20.48,4898922,74
06/11/2022,216.58.198.202,192.168.20.42,1447,3
06/11/2022,52.16.104.93,192.168.20.48,46315,14
06/11/2022,192.168.20.43,239.255.255.250,100863386,1200
06/11/2022,18.203.57.224,192.168.20.48,22930,11
06/11/2022,192.168.20.43,54.243.58.104,12705101,20
06/11/2022,18.203.57.224,192.168.20.43,14911,11
06/11/2022,52.16.104.93,192.168.20.43,1928,7
06/11/2022,192.168.20.48,44.199.52.214,15643955,473
06/11/2022,192.168.20.43,54.159.111.180,71117848,1703
06/11/2022,192.168.20.43,34.204.132.63,193546192,102
06/11/2022,192.168.20.48,52.78.15.113,1377153,18
